Wavelength (nm),Intensity,Elapsed Time (s),Integration Time (ms)
576.3651123046875,352.25,0.503,50.0
576.9425048828125,362.5,0.503,50.0
577.5198364257812,347.25,0.503,50.0
578.0969848632812,326.25,0.503,50.0
578.6741943359375,347.0,0.503,50.0
579.2514038085938,354.0,0.503,50.0
579.8285522460938,341.25,0.503,50.0
580.4055786132812,343.5,0.503,50.0
580.982666015625,332.5,0.503,50.0
581.5596923828125,341.5,0.503,50.0
582.1366577148438,340.5,0.503,50.0
582.713623046875,356.0,0.503,50.0
583.2904663085938,343.25,0.503,50.0
583.8673095703125,350.25,0.503,50.0
584.4441528320312,332.75,0.503,50.0
585.0209350585938,335.25,0.503,50.0
585.5975952148438,346.5,0.503,50.0
586.17431640625,335.0,0.503,50.0
586.7510375976562,351.5,0.503,50.0
